54525.009 15.9 0.02 15.91 -0.00917459412627
54530.4895 15.78 0.02 15.78 -0.00353484439606
54532.4993 15.7 0.01 15.7 -0.00044984457516
54534.4893 15.67 0.02 15.67 0.00183068338323
54536.4256 15.67 0.02 15.67 0.00481775418475
54541.5133 15.76 0.02 15.76 0.00364150164892
54551.48 16.03 0.02 16.04 -0.00518939144765
54566.439 16.25 0.02 16.27 -0.0159939712334
54568.1501 16.26 0.01 16.29 -0.0329346865492
54569.3929 16.28 0.03 16.3 -0.0160556619143
54580.4041 16.49 0.04 16.51 -0.0231862522996
54584.3778 16.52 0.03 16.54 -0.0192640344746
54588.382 16.59 0.02 16.61 -0.0223039200404
54589.0234 16.59 0.01 16.63 -0.0364990079088
54594.0057 16.71 0.01 16.74 -0.0342523404677
54594.9787 16.74 0.02 16.78 -0.0436228614155
54596.327 16.82 0.05 16.85 -0.0270921775142
54608.2687 17.82 0.1 17.89 -0.06980887992
54623.2169 18.02 0.08 18.0 0.023965363415
54626.9751 18.23 0.04 18.41 -0.175003750848
